  SN    Year MoDaHrMnSecs    Lat      Lon    Dep    MMf  sd2   n2  nMw  
364440. 2019 0601042619.62  40.4730  20.7430  17    5.2 0.064  10   5   
364476. 2019 0601070027.53  40.5520  20.7830  15    5.0 0.064  10   5   
366277. 2019 0719111316.28  38.1100  23.5510  17    5.3 0.063  10   6   
366799. 2019 0803095124.59  35.1530  27.8510  15    5.1 0.066  10   5   
367012. 2019 0808112530.41  37.8930  29.6790  15    5.9 0.078   6   7   
367218. 2019 0811070251.18  34.3060  25.0390  23    5.2 0.079   6   1   
368707. 2019 0921140425.87  41.3280  19.5470  20    5.7 0.060  12   4   
368709. 2019 0921141553.61  41.3130  19.5490  20    5.2 0.062  11   4   
368917. 2019 0924074859.11  34.2380  26.1860  22    5.0 0.076   6   3   
369015. 2019 0926105925.82  40.8430  28.2150  12    5.7 0.070   8   6   
369386. 2019 1003044457.71  36.2530  28.5910  28    5.2 0.067  10   4   
371323. 2019 1126025412.09  41.4230  19.5620  18    6.4 0.064   9   5   
371378. 2019 1126060822.30  41.5310  19.4950  15    5.5 0.062  11   4   
371585. 2019 1127144524.77  41.4980  19.4140  15    5.3 0.062  11   4   
373874. 2020 0119025209.96  38.1770  20.7620  16    5.1 0.065   9   4   
373984. 2020 0122192217.22  39.0680  27.8590  15    5.6 0.072   7   6   
374920. 2020 0128112614.92  39.1060  27.8510  13    5.0 0.067   9   6   
374967. 2020 0128153834.18  35.1290  27.9480  15    5.5 0.070   9   7   
375005. 2020 0128201509.53  41.4170  19.5780  15    5.0 0.093   7   0   
375182. 2020 0130012807.00  35.1630  27.8880  22    5.5 0.070   9   6   
375257. 2020 0130112137.88  35.1800  27.8320  22    5.7 0.063  11   5   
375830. 2020 0204175525.28  38.9760  27.9370  15    5.0 0.064  10   3   
376282. 2020 0210224651.15  35.1620  27.9130  15    5.0 0.063  11   3   
376613. 2020 0218160924.23  39.0810  27.8490  12    5.1 0.070   8   5   
