SS ID,Strike,Dip Direction,Dip,Rake,Length (km),Width (km),Min Depth (km),Max Depth (km),Rupture Area,Average slip (m),Mw (W&C94),Mw (K&A),M0 (Nm),LonA,LatA,LonB,LatB,Lon1,Lat1,Lon2,Lat2,Lon3,Lat3,Lon4,Lat4,Slip rate
29.0,215.0,305.0,60.0,245.0,32.0,17.0,0.0,14.7,544.0,0.92,6.7,6.7,1.5e+19,21.8809,40.6848,21.6636,40.449,21.8809,40.6848,21.6636,40.449,21.5812,40.4929,21.7984,40.7286,
30.0,262.0,352.0,45.0,270.0,24.0,14.0,0.0,9.9,336.0,0.71,6.5,6.5,7.16e+18,22.551,40.5083,22.2699,40.4783,22.551,40.5083,22.2699,40.4783,22.2535,40.5664,22.5348,40.5965,
32.0,235.0,325.0,40.0,265.0,27.0,15.0,0.0,9.6,405.0,0.78,6.6,6.6,9.54e+18,22.1513,40.2821,21.8909,40.1429,22.1513,40.2821,21.8909,40.1429,21.8132,40.2275,22.0737,40.3668,
32.0,242.0,332.0,38.0,269.0,32.0,17.0,0.0,10.5,544.0,0.92,6.7,6.7,1.5e+19,21.8795,40.1397,21.5475,40.0045,21.8795,40.1397,21.5475,40.0045,21.4734,40.1109,21.8056,40.246,
33.0,292.0,22.0,45.0,290.0,22.0,13.0,0.0,9.2,286.0,0.65,6.4,6.4,5.6e+18,22.8184,39.8406,22.5793,39.9148,22.8184,39.8406,22.5793,39.9148,22.6197,39.9914,22.8588,39.9173,
34.0,108.0,198.0,60.0,270.0,19.5,13.0,0.0,11.3,253.5,0.61,6.4,6.4,4.66e+18,22.2243,39.8486,22.4415,39.7945,22.2243,39.8486,22.4415,39.7945,22.4179,39.7389,22.2008,39.7931,
35.0,284.0,14.0,55.0,270.0,22.0,13.0,0.0,10.6,286.0,0.65,6.4,6.4,5.58e+18,22.4656,39.6207,22.2163,39.6685,22.4656,39.6207,22.2163,39.6685,22.2373,39.7336,22.4867,39.6857,
36.0,310.0,40.0,40.0,271.0,31.0,16.5,3.0,13.6,511.5,0.89,6.7,6.7,1.36e+19,22.1838,39.6108,21.9062,39.79,22.2107,39.6354,21.933,39.8146,22.0281,39.9017,22.3058,39.7225,
37.0,84.0,174.0,45.0,260.0,46.5,22.0,0.0,15.6,1023.0,1.28,7.0,7.0,3.94e+19,22.6119,39.2688,23.1492,39.3126,22.6119,39.2688,23.1492,39.3126,23.1678,39.1734,22.631,39.1297,
38.0,95.0,185.0,45.0,270.0,22.0,13.0,0.0,9.2,286.0,0.65,6.4,6.4,5.58e+18,22.5468,39.3566,22.8016,39.3394,22.5468,39.3566,22.8016,39.3394,22.7922,39.257,22.5375,39.2743,
39.0,99.0,189.0,55.0,270.0,20.0,13.0,0.0,10.6,260.0,0.62,6.4,6.4,4.84e+18,22.3755,39.3575,22.6052,39.3293,22.3755,39.3575,22.6052,39.3293,22.5916,39.2631,22.362,39.2912,
40.0,288.0,18.0,45.0,285.0,31.0,16.5,0.0,11.7,511.5,0.89,6.7,6.7,1.36e+19,22.2842,39.147,21.9421,39.2332,22.2842,39.147,21.9421,39.2332,21.9839,39.333,22.3262,39.2468,
42.0,130.0,220.0,60.0,300.0,40.0,20.0,0.0,17.3,800.0,1.13,6.9,6.9,2.7e+19,23.1389,38.8588,23.4922,38.6276,23.1389,38.8588,23.4922,38.6276,23.4181,38.5587,23.0648,38.7899,
