SN,Year,MoDaHrMnSecs,Lat,Lon,Dep,MMf,sd2,n2,nMw
000087.,1904,0404100234.00,41.8000,23.2000,15,6.8,0.105,4,0
000088.,1904,0404100500.00,41.8000,23.1000,0,4.8,0.180,1,0
000089.,1904,0404100600.00,41.8000,23.1000,0,5.3,0.180,1,0
000090.,1904,0404100700.00,41.8000,23.1000,0,4.8,0.180,1,0
000091.,1904,0404100900.00,41.8000,23.2000,0,5.1,0.180,1,0
000092.,1904,0404101100.00,41.8000,23.1000,0,4.8,0.180,1,0
000093.,1904,0404101300.00,41.8000,23.2000,10,5.5,0.180,1,0
000094.,1904,0404101900.00,41.8000,23.2000,0,5.3,0.180,1,0
000095.,1904,0404102534.15,42.4351,23.4138,15,7.2,0.160,1,0
000096.,1904,0404103000.00,42.1000,23.4000,25,5.3,0.135,3,0
000097.,1904,0404103900.00,41.8000,23.2000,30,5.0,0.180,1,0
000098.,1904,0404104900.00,41.8000,23.2000,0,5.1,0.180,1,0
000099.,1904,0404105400.00,41.8000,23.1000,0,5.0,0.180,1,0
000100.,1904,0404110400.00,41.8000,23.1000,20,5.1,0.180,1,0
000101.,1904,0404110930.00,41.8000,23.2000,0,5.3,0.135,3,0
000102.,1904,0404124700.00,41.8000,23.2000,0,5.1,0.180,1,0
000103.,1904,0404142700.00,41.8000,23.1000,0,5.0,0.180,1,0
000104.,1904,0405051900.00,41.8000,23.2000,0,5.0,0.180,1,0
000105.,1904,0405093400.00,37.8000,22.2000,0,5.4,0.135,3,0
000106.,1904,0409053500.00,42.2000,23.7000,0,4.4,0.180,1,0
000107.,1904,0410022400.00,41.8000,23.2000,27,5.0,0.180,1,0
000108.,1904,0410085246.00,42.7000,22.7000,36,6.2,0.122,3,0
000109.,1904,0411005000.00,42.5000,21.8000,0,4.4,0.180,1,0
000110.,1904,0411041800.00,42.8000,22.7000,27,5.4,0.180,1,0
000111.,1904,0413095533.00,42.4000,22.8000,45,5.5,0.140,3,0
000112.,1904,0413213000.00,42.0000,21.4000,0,4.6,0.180,1,0
000113.,1904,0415114100.00,41.8000,23.2000,0,5.0,0.180,1,0
000114.,1904,0419181500.00,41.8000,23.2000,0,5.8,0.135,3,0
000115.,1904,0420013200.00,42.5000,22.3000,20,5.2,0.180,1,0
000116.,1904,0421130000.00,41.8000,23.2000,0,5.0,0.180,1,0
000117.,1904,0425200200.00,42.0000,23.0000,0,5.5,0.198,2,0
000118.,1904,0507234400.00,41.8000,23.1000,0,4.8,0.180,1,0
000119.,1904,0508175700.00,41.8000,23.1000,0,4.8,0.180,1,0
000120.,1904,0510100000.00,38.8000,20.8000,0,5.0,0.180,1,0
000121.,1904,0512171400.00,41.8000,23.1000,0,4.8,0.180,1,0
000122.,1904,0519100200.00,38.4000,27.2000,0,5.4,0.135,3,0
000123.,1904,0519222000.00,38.2000,27.7000,0,4.9,0.180,1,0
000124.,1904,0610174000.00,41.8000,23.2000,0,5.0,0.180,1,0
000125.,1904,0621131000.00,41.8000,23.2000,30,5.0,0.180,1,0
000126.,1904,0628021500.00,41.7000,24.7000,35,5.2,0.180,1,0
000127.,1904,0701221400.00,42.0000,23.0000,3,4.7,0.180,1,0
000128.,1904,0703082600.00,42.6000,21.9000,0,4.3,0.180,1,0
000129.,1904,0709005000.00,37.0000,23.0000,100,5.9,0.180,1,0
000130.,1904,0712164500.00,42.3000,18.8000,0,4.6,0.180,1,0
000131.,1904,0724063300.00,41.8000,23.2000,0,5.0,0.180,1,0
000132.,1904,0801075000.00,41.8000,23.2000,0,5.2,0.180,1,0
000133.,1904,0804083900.00,42.6000,21.9000,0,4.6,0.180,1,0
000134.,1904,0809062200.00,42.1000,23.4000,0,4.4,0.180,1,0
000135.,1904,0811022500.00,37.6000,26.7000,0,5.0,0.180,1,0
000136.,1904,0811060830.00,37.7000,26.9000,10,6.4,0.105,4,0
000137.,1904,0812013000.00,37.7000,26.9000,0,5.2,0.180,1,0
000138.,1904,0812061200.00,37.7000,26.9000,0,5.0,0.180,1,0
000139.,1904,0812163300.00,37.7000,26.9000,0,5.0,0.180,1,0
000140.,1904,0813010900.00,37.7000,26.9000,0,5.0,0.180,1,0
000141.,1904,0814000000.00,37.8000,27.0000,0,5.3,0.180,1,0
000142.,1904,0815123000.00,38.1000,27.1000,0,5.0,0.180,1,0
000143.,1904,0818200400.00,37.7000,26.9000,2,5.9,0.180,1,0
000144.,1904,0818200730.00,38.0000,27.0000,0,5.8,0.198,2,0
000145.,1904,0820104500.00,37.7000,26.9000,0,5.1,0.180,1,0
000146.,1904,0905063500.00,37.8000,27.0000,0,5.1,0.180,1,0
000147.,1904,0913093000.00,38.4000,23.3000,16,5.4,0.180,1,0
000148.,1904,0919000000.00,40.6000,26.9000,0,5.1,0.180,1,0
000149.,1904,1010174030.00,38.4000,27.2000,20,5.7,0.135,3,0
000150.,1904,1018021500.00,37.6000,26.7000,0,5.0,0.180,1,0
000151.,1904,1022000000.00,38.0000,27.0000,0,5.3,0.180,1,0
000152.,1904,1029161200.00,41.8000,23.2000,30,5.0,0.180,1,0
000153.,1904,1102182900.00,42.4000,19.0000,7,4.6,0.180,1,0
000154.,1904,1206140000.00,36.8000,28.0000,0,4.6,0.180,1,0
000155.,1904,1228061500.00,37.5000,22.8000,0,5.0,0.180,1,0
000156.,1905,0111173200.00,39.6000,27.9000,0,5.2,0.180,1,0
000157.,1905,0117150800.00,42.1000,23.4000,21,4.8,0.180,1,0
000158.,1905,0120023230.00,39.7000,22.9000,13,5.9,0.105,4,0
000159.,1905,0202224500.00,42.2000,23.0000,24,5.0,0.180,1,0
000160.,1905,0209040000.00,39.5000,23.0000,0,5.0,0.180,1,0
000161.,1905,0210020000.00,39.5000,23.0000,0,5.0,0.180,1,0
000162.,1905,0211230000.00,39.5000,23.0000,0,5.0,0.180,1,0
000163.,1905,0213210000.00,39.5000,23.0000,0,5.0,0.180,1,0
000164.,1905,0404102448.00,41.0000,21.0000,0,4.8,0.180,1,0
000165.,1905,0404110030.00,41.0000,21.0000,0,4.9,0.180,1,0
000166.,1905,0409194700.00,42.3000,23.6000,0,4.4,0.180,1,0
000167.,1905,0415053630.00,40.2000,29.0000,0,5.4,0.135,3,0
000168.,1905,0430160100.00,38.8000,28.5000,0,5.5,0.180,1,0
000169.,1905,0502000000.00,38.8000,28.5000,0,5.5,0.180,1,0
000170.,1905,0531002712.00,41.8000,24.0000,0,4.9,0.180,1,0
000171.,1905,0601044200.00,42.1000,19.6000,20,6.4,0.105,4,0
000172.,1905,0601050100.00,42.1000,19.6000,0,4.8,0.180,1,0
000173.,1905,0601050300.00,42.1000,19.6000,0,4.8,0.180,1,0
000174.,1905,0601054000.00,42.1000,19.6000,0,4.8,0.180,1,0
000175.,1905,0601093000.00,42.1000,19.6000,0,5.0,0.180,1,0
000176.,1905,0601144725.00,42.3000,19.2000,0,5.0,0.180,1,0
000177.,1905,0601214648.00,42.3000,19.2000,20,5.3,0.135,3,0
000178.,1905,0603041500.00,38.2000,20.5000,0,5.4,0.135,3,0
000179.,1905,0603051100.00,42.1000,19.6000,0,5.5,0.135,3,0
000180.,1905,0603235600.00,42.1000,19.6000,0,4.6,0.180,1,0
000181.,1905,0604160000.00,39.0000,28.7000,0,5.1,0.180,1,0
000182.,1905,0605110900.00,42.1000,19.6000,0,5.1,0.180,1,0
000183.,1905,0606025500.00,42.1000,19.6000,0,5.0,0.180,1,0
000184.,1905,0609233600.00,42.1000,19.6000,0,5.0,0.180,1,0
000185.,1905,0616122106.00,41.8000,24.5000,0,4.7,0.180,1,0
000186.,1905,0616123500.00,42.1000,19.6000,0,5.0,0.180,1,0
000187.,1905,0630115300.00,42.1000,19.6000,0,5.0,0.180,1,0
000188.,1905,0630240000.00,42.1000,19.6000,0,5.2,0.180,1,0
000189.,1905,0702045500.00,42.1000,19.6000,0,4.8,0.180,1,0
000190.,1905,0708220000.00,41.0000,24.5000,0,4.9,0.180,1,0
000191.,1905,0709231000.00,42.0000,24.2000,30,4.6,0.180,1,0
000192.,1905,0713130200.00,42.1000,19.6000,0,5.1,0.180,1,0
000193.,1905,0716122104.00,42.1000,19.6000,0,5.4,0.198,2,0
000194.,1905,0716123500.00,42.1000,19.6000,0,5.0,0.180,1,0
000195.,1905,0719073000.00,42.1000,19.6000,0,4.8,0.180,1,0
000196.,1905,0721003500.00,42.1000,19.6000,0,4.8,0.180,1,0
000197.,1905,0721221000.00,42.1000,19.6000,0,4.8,0.180,1,0
000198.,1905,0727224030.00,42.1000,19.6000,0,4.8,0.180,1,0
000199.,1905,0803234212.00,42.1000,19.6000,0,4.8,0.180,1,0
000200.,1905,0803235000.00,42.1000,19.6000,0,4.8,0.180,1,0
000201.,1905,0804050000.00,42.1000,19.6000,0,5.8,0.135,3,0
000202.,1905,0804091400.00,42.1000,19.6000,0,4.8,0.180,1,0
000203.,1905,0804183400.00,42.1000,19.6000,0,4.8,0.180,1,0
000204.,1905,0806234555.00,42.0000,19.5000,0,5.3,0.135,3,0
000205.,1905,0812212700.00,42.1000,19.6000,0,5.0,0.180,1,0
000206.,1905,0828053000.00,42.1000,19.6000,0,4.8,0.180,1,0
000207.,1905,0905012200.00,42.1000,23.4000,20,4.9,0.180,1,0
000208.,1905,1001012200.00,42.6000,22.5000,0,5.0,0.180,1,0
