SS ID,Strike,Dip Direction,Dip,Rake,Length (km),Width (km),Min Depth (km),Max Depth (km),Rupture Area,Average slip (m),Mw (W&C94),Mw (K&A),M0 (Nm),LonA,LatA,LonB,LatB,Lon1,Lat1,Lon2,Lat2,Lon3,Lat3,Lon4,Lat4,Slip rate
134.0,300.0,30.0,85.0,9.0,33.0,10.5,15.0,25.5,346.5,0.86,6.6,6.6,8.93e+18,21.1496,37.8211,20.8238,37.9695,21.157,37.8314,20.8313,37.9797,20.8365,37.9869,21.1623,37.8385,
135.0,210.0,300.0,85.0,175.0,54.0,13.0,7.0,20.0,702.0,1.25,6.9,6.9,2.63e+19,21.6318,38.1184,21.324,37.6979,21.6257,38.1212,21.3179,37.7006,21.3068,37.7057,21.6145,38.1263,
139.0,44.0,134.0,80.0,190.0,37.0,11.0,0.0,10.8,407.0,0.94,6.6,6.6,1.14e+19,21.0016,37.3844,21.293,37.6238,21.0016,37.3844,21.293,37.6238,21.3086,37.6118,21.0172,37.3725,
147.0,214.0,304.0,75.0,170.0,64.0,14.0,4.0,17.5,896.0,1.33,7.0,7.0,3.82e+19,22.6192,36.1384,22.2218,35.6612,22.6093,36.1438,22.212,35.6666,22.1786,35.6848,22.5759,36.162,
154.0,250.0,340.0,80.0,0.0,59.0,13.5,0.0,13.3,796.5,1.34,6.9,6.9,3.19e+19,24.6058,34.7342,23.9997,34.5527,24.6058,34.7342,23.9997,34.5527,23.9909,34.5725,24.5971,34.754,
155.0,256.0,346.0,75.0,0.0,107.0,17.5,0.0,16.9,1872.5,2.1,7.3,7.3,1.18e+20,25.7642,34.9263,24.6271,34.6936,25.7642,34.9263,24.6271,34.6936,24.6149,34.7331,25.7524,34.9659,
159.0,243.0,333.0,78.0,10.0,93.5,16.5,0.0,16.1,1542.7,1.9,7.2,7.2,8.77e+19,27.2384,35.2888,26.3227,34.907,27.2384,35.2888,26.3227,34.907,26.3055,34.9345,27.2214,35.3163,
161.0,219.0,309.0,84.0,20.0,114.0,18.0,0.0,17.9,2052.0,1.95,7.4,7.4,1.36e+20,28.6334,36.5045,27.8348,35.7077,28.6334,36.5045,27.8348,35.7077,27.8186,35.7184,28.6171,36.5151,
162.0,237.0,327.0,78.0,10.0,114.0,18.0,0.0,17.6,2052.0,2.2,7.4,7.4,1.36e+20,28.2698,35.7245,27.2144,35.1661,28.2698,35.7245,27.2144,35.1661,27.1918,35.1943,28.2474,35.7527,
163.0,244.0,334.0,75.0,10.0,87.0,16.0,0.0,15.5,1392.0,1.79,7.2,7.2,7.49e+19,25.5836,34.2893,24.7342,33.9464,25.5836,34.2893,24.7342,33.9464,24.7144,33.9798,25.564,34.3228,
164.0,242.0,332.0,75.0,10.0,154.0,20.5,0.0,19.8,3157.0,2.77,7.5,7.5,2.62e+20,27.1949,34.9055,25.7096,34.2553,27.1949,34.9055,25.7096,34.2553,25.6823,34.2974,27.1678,34.9476,
165.0,238.0,328.0,75.0,10.0,122.0,18.5,0.0,17.9,2257.0,2.32,7.4,7.4,1.57e+20,26.7495,34.2573,25.6276,33.6759,26.7495,34.2573,25.6276,33.6759,25.6,33.7124,26.722,34.2938,
166.0,236.0,326.0,75.0,10.0,69.5,14.5,0.0,14.0,1007.7,1.51,7.0,7.0,4.57e+19,27.421,34.5599,26.7931,34.2103,27.421,34.5599,26.7931,34.2103,26.7702,34.2383,27.3982,34.5878,
167.0,236.0,326.0,75.0,10.0,121.5,18.5,0.0,17.9,2247.8,2.31,7.4,7.4,1.56e+20,28.5737,35.2486,27.4686,34.6375,28.5737,35.2486,27.4686,34.6375,27.4392,34.6732,28.5444,35.2843,
192.0,5.0,95.0,25.0,168.0,45.0,12.0,7.0,12.1,540.0,1.02,6.8,6.8,1.76e+19,20.3669,37.2597,20.4109,37.6628,20.5361,37.2479,20.5805,37.6511,20.7034,37.6426,20.6587,37.2394,
256.0,61.0,151.0,85.0,190.0,64.0,14.0,0.0,13.9,896.0,1.42,7.0,7.0,3.81972e+19,27.0253,39.9793,27.6836,40.2583,27.0253,39.9793,27.6836,40.2583,27.6906,40.2487,27.0323,39.9697,
257.0,237.0,327.0,85.0,200.0,47.0,12.0,0.0,12.0,564.0,1.11,6.8,6.8,1.8813e+19,27.0973,39.9171,26.6358,39.6869,27.0973,39.9171,26.6358,39.6869,26.6292,39.6948,27.0906,39.925,
258.0,60.0,150.0,80.0,174.0,68.0,18.0,0.0,17.7,1224.0,1.68,7.1,7.1,6.1561e+19,27.0699,39.8399,27.7612,40.1457,27.0699,39.8399,27.7612,40.1457,27.7795,40.1213,27.0883,39.8156,
259.0,243.0,333.0,85.0,200.0,35.0,11.0,0.0,11.0,385.0,0.91,6.6,6.6,1.04895e+19,27.4904,39.8888,27.1253,39.7459,27.4904,39.8888,27.1253,39.7459,27.1202,39.7536,27.4853,39.8965,
260.0,248.0,338.0,85.0,160.0,78.0,15.0,0.0,14.9,1170.0,1.64,7.1,7.1,5.75e+19,27.8895,39.7714,27.0449,39.5087,27.8895,39.7714,27.0449,39.5087,27.0392,39.5196,27.8838,39.7823,
261.0,75.0,165.0,85.0,190.0,41.0,11.5,0.0,11.5,471.5,1.01,6.7,6.7,1.4303e+19,27.4873,39.5941,27.9498,39.6896,27.4873,39.5941,27.9498,39.6896,27.9528,39.6809,27.4903,39.5854,
262.0,23.0,113.0,85.0,190.0,37.0,11.0,0.0,11.0,407.0,0.94,6.6,6.6,1.14204e+19,27.8474,39.0612,28.0152,39.3675,27.8474,39.0612,28.0152,39.3675,28.0254,39.3641,27.8576,39.0578,
263.0,203.0,293.0,85.0,190.0,26.0,9.5,0.0,9.5,247.0,0.72,6.4,6.4,5.3352e+18,27.1517,39.0682,27.0342,38.8529,27.1517,39.0682,27.0342,38.8529,27.0254,38.8558,27.1429,39.0711,
300.0,3.0,93.0,80.0,180.0,35.0,11.0,0.0,10.8,385.0,0.83,6.6,6.6,1.05452e+19,26.6307,38.1451,26.6517,38.4594,26.6307,38.1451,26.6517,38.4594,26.6736,38.4585,26.6526,38.1442,
301.0,228.0,318.0,79.0,189.0,38.0,11.0,0.0,10.8,418.0,0.86,6.7,6.7,1.1896e+19,26.951,38.3491,26.6277,38.1204,26.951,38.3491,26.6277,38.1204,26.6116,38.1344,26.935,38.3631,
305.0,39.0,129.0,80.0,160.0,37.0,11.0,0.0,10.8,407.0,0.85,6.6,6.6,1.14204e+19,26.8457,38.0524,27.1121,38.3109,26.8457,38.0524,27.1121,38.3109,27.1291,38.3001,26.8627,38.0415,
311.0,243.0,333.0,85.0,190.0,59.0,13.5,0.0,13.4,796.5,1.21,6.9,6.9,3.19017e+19,27.8745,38.4975,27.2715,38.2566,27.8745,38.4975,27.2715,38.2566,27.2653,38.266,27.8684,38.5069,
700.0,230.0,320.0,80.0,195.0,54.0,13.0,0.0,12.8,702.0,1.25,6.9,6.9,2.62964e+19,19.8502,40.2013,19.3642,39.8892,19.8502,40.2013,19.3642,39.8892,19.3471,39.9047,19.8331,40.2169,
720.0,60.0,150.0,75.0,10.0,115.0,18.0,0.0,17.4,2070.0,2.21,7.4,7.4,1.37241e+20,19.0121,40.642,20.1971,41.1591,19.0121,40.642,20.1971,41.1591,20.2247,41.1228,19.0399,40.6057,
